Autosuggestion Name
"ACL tear (anterior cruciate ligament tear), bilateral"
"ACL tear (anterior cruciate ligament tear), left"
"ACL tear (anterior cruciate ligament tear), right"
acne
adjustment disorder
agoraphobia
alopecia
ALS (amyotrophic lateral sclerosis)
anal cancer
anal or perianal fistula (fistula-in-ano)
"ankle replacement (ankle arthroplasty), bilateral"
"ankle replacement (ankle arthroplasty), left"
"ankle replacement (ankle arthroplasty), right"
"ankle sprain, bilateral"
"ankle sprain, left"
"ankle sprain, right"
"ankylosis in ankle, bilateral"
"ankylosis in ankle, left"
"ankylosis in ankle, right"
"ankylosis in elbow, bilateral"
"ankylosis in elbow, left"
"ankylosis in elbow, right"
"ankylosis in hand or fingers, bilateral"
"ankylosis in hand or fingers, left"
"ankylosis in hand or fingers, right"
"ankylosis in hip, bilateral"
"ankylosis in hip, left"
"ankylosis in hip, right"
"ankylosis in knee, bilateral"
"ankylosis in knee, left"
"ankylosis in knee, right"
"ankylosis in shoulder, bilateral"
"ankylosis in shoulder, left"
"ankylosis in shoulder, right"
"ankylosis in wrist, bilateral"
"ankylosis in wrist, left"
"ankylosis in wrist, right"
anorexia (type of eating disorder)
aortic insufficiency (aortic regurgitation)
aortic valve disease
arrhythmia (irregular heartbeat)
asthma
"astragalectomy or talectomy (removal of talus bone in ankle), bilateral"
"astragalectomy or talectomy (removal of talus bone in ankle), left"
"astragalectomy or talectomy (removal of talus bone in ankle), right"
athlete's foot (tinea pedis)
atrial fibrillation (A-fib)
"basal cell carcinoma of the skin, extremities or trunk"
"basal cell carcinoma of the skin, head or neck"
bipolar disorder
biventricular hypertrophy
bladder cancer
bladder stones
"bone cancer, including osteosarcoma, extremities or trunk"
"bone cancer, including osteosarcoma, head or neck"
"Boutonniere deformity in fingers, bilateral"
"Boutonniere deformity in fingers, left"
"Boutonniere deformity in fingers, right"
"brain cancer, including glioblastoma"
"breast cancer, bilateral"
"breast cancer, left"
"breast cancer, right"
bronchiectasis 
bulimia (type of eating disorder)
"bunions (hallux valgus), bilateral"
"bunions (hallux valgus), left"
"bunions (hallux valgus), right"
"bursitis in ankle, bilateral"
"bursitis in ankle, left"
"bursitis in ankle, right"
"bursitis in elbow, bilateral"
"bursitis in elbow, left"
"bursitis in elbow, right"
"bursitis in foot, bilateral"
"bursitis in foot, left"
"bursitis in foot, right"
"bursitis in hand or fingers, bilateral"
"bursitis in hand or fingers, left"
"bursitis in hand or fingers, right"
"bursitis in hip, bilateral"
"bursitis in hip, left"
"bursitis in hip, right"
"bursitis in knee, bilateral"
"bursitis in knee, left"
"bursitis in knee, right"
"bursitis in shoulder, bilateral"
